GT	Prediction	PostProcessedPrediction	Probability	WRR_Correct	Post_WRR_Correct
గాని	గాని	గాని	0.999609	1	1
ముందు	ముందు	ముందు	0.998219	1	1
ఒక	ఒక	ఒక	0.999756	1	1
పెక్కు	పెక్కు	పెక్కు	0.996980	1	1
గాని	గాని	గాని	0.967352	1	1
యావదాస్తిని	యావదాస్తిని	యావదాస్తిని	0.998992	1	1
ముందు	ముందు	ముందు	0.999330	1	1
మనస్సు	మనస్సు	మనస్సు	0.999781	1	1
అనేటువంటి	అనేటువంటి	అనేటువంటి	0.998925	1	1
ఈనాటికి	ఈనాటికి	ఈనాటికి	0.999121	1	1
ఆచార్య	ఆచార్య	ఆచార్య	0.997677	1	1
ర్యము	ర్యము	ర్యము	0.999586	1	1
విను	విను	విను	0.977005	1	1
గురించి	గురించి	గురించి	0.999306	1	1
పేరు	పేరు	పేరు	0.975737	1	1
ఇదిగో	ఇదిగో	ఇదిగో	0.999794	1	1
డమ్మా	డమ్మా	డమ్మా	0.997926	1	1
ఎన్నొ	ఎన్ొ	ఎన్	0.885530	0	0
శివస్వరూపము	శివస్వరూపము	శివస్వరూపము	0.972232	1	1
గణిత	గణిత	గణిత	0.999352	1	1
లేకున్న	లేకున్న	లేకున్న	0.978313	1	1
ఉన్నటువంటి	ఉన్నటువంటి	ఉన్నటువంటి	0.992028	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999311	1	1
మన	మన	మన	0.998617	1	1
లెమ్మని	లెమ్మని	లెమ్మని	0.993919	1	1
కష్టం	కష్టం	కష్టం	0.997903	1	1
మనస్సును	మనస్సును	మనస్సును	0.968664	1	1
కూడ	కూడ	కూడ	0.988448	1	1
అభ్యాసం	అభ్యాసం	అభ్యాసం	0.961560	1	1
మరియు	మరియు	మరియు	0.999534	1	1
అవి	అవి	అవి	0.961077	1	1
అనే	అనే	అనే	0.996004	1	1
చేసెడి	చేసెడి	చేసెడి	0.951939	1	1
చాలా	చాలా	చాలా	0.941839	1	1
ధ్యానము	ధ్యానము	ధ్యానము	0.935549	1	1
పిచ్చితల్లి	పిచ్చితల్లి	పిచ్చితల్లి	0.998887	1	1
అలా	అలా	అలా	0.961225	1	1
అనేవి	అనేవి	అనేవి	0.988598	1	1
త్రిప్పుటకు	త్ిప్పుటకు	త్రిప్పుటకు	0.895237	0	1
వచ్చి	నచ్చి	నచ్చి	0.981132	0	0
ఇంతవఱకు	ఇంతవఱకు	ఇంతవఱకు	0.956980	1	1
కాఫీ	కాఫీ	కాఫీ	0.998897	1	1
వీ	నీ	నీ	0.897118	0	0
కూడ	కూడ	కూడ	0.906179	1	1
కాపాడుచు	కాపాడుచు	కాపాడుచు	0.995517	1	1
వృద్ధి	వృధి	విధి	0.937927	0	0
చెదరదు	చెదరదు	చెదరదు	0.996207	1	1
కేల	కేల	కేల	0.999588	1	1
వేణువు	వేణువు	వేణువు	0.930476	1	1
తాము	తామ	తామ	0.842739	0	0
ఎక్కడనుంచి	ఎక్కడనుంచి	ఎక్కడనుంచి	0.998967	1	1
వర్తకుల	నరకుల	నరకుల	0.969004	0	0
కాలము	కాలము	కాలము	0.998471	1	1
ఒక	ఒక	ఒక	0.861906	1	1
ధారణ	ధారణ	ధారణ	0.954562	1	1
కూడ	కూడ	కూడ	0.897051	1	1
పట్టుకుని	పట్టుకుని	పట్టుకుని	0.948820	1	1
పెదవులు	పెదవులు	పెదవులు	0.998713	1	1
మనస్సులో	మనస్సులో	మనస్సులో	0.979301	1	1
ధ్యానము	ధ్యానము	ధ్యానము	0.950714	1	1
వస్తువుయొక్క	వస్తువుయొక్క	వస్తువుయొక్క	0.977742	1	1
నిలబడటం	నిలబడటం	నిలబడటం	0.999047	1	1
ఇతని	ఇతని	ఇతని	0.993455	1	1
నాయన	నాయన	నాయన	0.999024	1	1
సమాధి	సమాధి	సమాధి	0.976730	1	1
పదవికి	పదవికి	పదవికి	0.989075	1	1
విజయనగర	విజయనగర	విజయనగర	0.993931	1	1
వా	వా	వా	0.999546	1	1
మాయమై	మాయమై	మాయమై	0.934595	1	1
క్రమముగ	క్మముగ	క్మముగ	0.971677	0	0
చేసిన	చేసిన	చేసిన	0.999244	1	1
తెలుసు	తెలుసు	తెలుసు	0.999510	1	1
మీఁద	మోఁద	మోద	0.871962	0	0
పైన	పైన	పైన	0.955309	1	1
తి	క	ఒక	0.333046	0	0
స్థితి	స్థితి	స్థితి	0.906082	1	1
సమకాలిన	సమకాలిన	సమకాలిన	0.933066	1	1
ఎన్ని	ఎన్ని	ఎన్ని	0.970365	1	1
రూపాయల	సూపాయల	రూపాయల	0.933746	0	1
కావలసిన	కావలసిన	కావలసిన	0.947050	1	1
వారసత్వము	వారసత్వము	వారసత్వము	0.999754	1	1
వెయ్యడానికి	వెయ్యడానికి	వెయ్యడానికి	0.996661	1	1
ఉదయిస్తున్న	ఉదయిస్తున్న	ఉదయిస్తున్న	0.970277	1	1
అన్ని	అన్ని	అన్ని	0.999886	1	1
పినతండ్రి	పినతండిరి	పినతండ్రి	0.904390	0	1
కొంత	కొంత	కొంత	0.999699	1	1
తిరుపతిలో	తిరుపతిలో	తిరుపతిలో	0.973044	1	1
కొంచెం	కొంచెం	కొంచెం	0.995012	1	1
కారమును	కారమును	కారమును	0.971955	1	1
చలి	చలి	చలి	0.999048	1	1
చేయరాదని	చేయరాదని	చేయరాదని	0.998222	1	1
సరదాగ	సరదాగ	సరదాగ	0.993392	1	1
శాస్త్రిగారు	శాస్త్రిగారు	శాస్త్రిగారు	0.938995	1	1
జూచి	జూచి	జూచి	0.999496	1	1
పుణ్యంగా	పుణ్యంగా	పుణ్యంగా	0.999736	1	1
నెలకొల్పి	నెలకొల్పి	నెలకొల్పి	0.998548	1	1
పాదాలు	పాదాలు	పాదాలు	0.943676	1	1
ఘట్టములలో	ఘట్టములలో	ఘట్టములలో	0.993799	1	1
నాలుగు	నాలుగు	నాలుగు	0.962455	1	1
పేరు	పేరు	పేరు	0.952651	1	1
నని	నని	నని	0.985485	1	1
అనే	అనే	అనే	0.998985	1	1
వినియోగం	వినియోగం	వినియోగం	0.964982	1	1
నిరాశ	నిరాశ	నిరాశ	0.998621	1	1
గురు	గురు	గురు	0.962008	1	1
యొక్క	యొక్క	యొక్క	0.999701	1	1
చేసిన	చేసిన	చేసిన	0.999627	1	1
శూన్యం	శూన్యం	శూన్యం	0.999321	1	1
మీలో	మీలో	మీలో	0.999838	1	1
దండనకు	దండనకు	దండనకు	0.999516	1	1
మిక్కిలి	మిక్కిలి	మిక్కిలి	0.981669	1	1
అక్కడికి	అక్కడికి	అక్కడికి	0.999785	1	1
దీని	దీని	దీని	0.917441	1	1
కలవాడు	కలవాడు	కలవాడు	0.999693	1	1
వాళ్ళు	వాళ్ళు	వాళ్ళు	0.999005	1	1
దినములలో	దినములలో	దినములలో	0.967465	1	1
ఆనందం	ఆనందం	ఆనందం	0.876549	1	1
మంతయు	మంతయు	మంతయు	0.991605	1	1
తదేవ	తదేవ	తదేవ	0.998132	1	1
చూస్తూ	చూస్తూ	చూస్తూ	0.999842	1	1
నాల్గు	నాల్లు	నాల్గు	0.938121	0	1
జరుగ	జరుగ	జరుగ	0.972774	1	1
ఏడిస్తే	ఏడిస్తే	ఏడిస్తే	0.942522	1	1
వాటి	వాటి	వాటి	0.996354	1	1
నది	నది	నది	0.983436	1	1
రీతిగ	రీతిగ	రీతిగ	0.973758	1	1
కొలుచు	కొలుచు	కొలుచు	0.994887	1	1
మనస్సు	మనస్సు	మనస్సు	0.999853	1	1
నజరానాలు	నజరానాల	నజరానాల	0.995093	0	0
చాల	చాల	చాల	0.999269	1	1
ఒకానొక	ఒకానొక	ఒకానొక	0.999374	1	1
దాన్ని	దాన్ని	దాన్ని	0.999798	1	1
శరీర	శరీర	శరీర	0.999117	1	1
కప్పు	కోప్ప	కోప్ప	0.759472	0	0
వస్తువు	వస్తువు	వస్తువు	0.969900	1	1
యుండి	యుండు	యుండు	0.997785	0	0
స్మృతి	స్మృతి	స్మృతి	0.927739	1	1
తిరగటం	తిరగటం	తిరగటం	0.999611	1	1
అప్పుడు	అప్పుడు	అప్పుడు	0.950188	1	1
చిత్తవృత్తి	చిత్తవృత్తి	చిత్తవృత్తి	0.997402	1	1
నిన్ను	నిన్ను	నిన్ను	0.972533	1	1
ఎలా	ఎలా	ఎలా	0.999873	1	1
వానిని	వానిని	వానిని	0.969767	1	1
ప్రపంచంలో	ప్రపంచంలో	ప్రపంచంలో	0.999107	1	1
ఇంతటి	ఇంతటి	ఇంతటి	0.999351	1	1
సంచలనము	సంచలనము	సంచలనము	0.999413	1	1
అనంతాన్ని	అనంతాన్ని	అనంతాన్ని	0.999590	1	1
వస్తున్నటువంటి	వస్తున్నటువంటి	వస్తున్నటువంటి	0.981170	1	1
ఈతనియందు	ఈతనియండు	ఈతనియండు	0.954568	0	0
అవసరమైనప్పుడు	అవసరమైనప్పుడు	అవసరమైనప్పుడు	0.980390	1	1
తల్లీ	తల్లీ	తల్లీ	0.999332	1	1
కొండపైని	కొండపైని	కొండపైని	0.999434	1	1
ఆటలు	అటలు	అటలు	0.971653	0	0
తర్వాత	తర్వాత	తర్వాత	0.999914	1	1
నాకు	నాకు	నాకు	0.999612	1	1
ఈనె	ఈనె	ఈనె	0.997493	1	1
మెచ్చి	మెచ్చి	మెచ్చి	0.999771	1	1
ఈతని	ఈతని	ఈతని	0.870601	1	1
కాదు	కాదు	కాదు	0.948064	1	1
మైనటువంటి	మైనటువంటి	మైనటువంటి	0.969383	1	1
రెక్క	రిక్కి	రిక్కి	0.860923	0	0
చేయి	చేయి	చేయి	0.999392	1	1
అన్నంపెట్టి	అన్నంపెట్టి	అన్నంపెట్టి	0.999822	1	1
శ్రీ	శ్రీ	శ్రీ	0.954208	1	1
కూడ	కూడ	కూడ	0.999827	1	1
జలోదరము	జలోదరము	జలోదరము	0.999492	1	1
కలకత్తాలోని	కలకన్తాలోని	కలకత్తాలోని	0.882056	0	1
అంటే	అంటే	అంటే	0.999377	1	1
నవ్విన	నవ్విన	నవ్విన	0.993198	1	1
భక్తితో	భక్తితో	భక్తితో	0.996255	1	1
శాసనాలలో	శాసనాలలో	శాసనాలలో	0.965947	1	1
మీరు	మారు	మారు	0.842556	0	0
పాప	పాప	పాప	0.972148	1	1
ఏమీ	ఏమీ	ఏమీ	0.961155	1	1
విజయనగర	విజయనగర	విజయనగర	0.994636	1	1
ఇవ్వలేదని	ఇవ్వలేదని	ఇవ్వలేదని	0.995674	1	1
వేదాంత	వేదాంత	వేదాంత	0.999492	1	1
గడచిన	గడచిన	గడచిన	0.999736	1	1
వారి	వారి	వారి	0.999383	1	1
రాజ్య	రాజ్య	రాజ్య	0.999880	1	1
అక్కడికి	అక్కడికి	అక్కడికి	0.984516	1	1
పరిగణించి	పరిగణించి	పరిగణించి	0.994446	1	1
పాదాలమీద	పాదాలమీద	పాదాలమీద	0.991932	1	1
అష్టాంగ	అష్టాంగ	అష్టాంగ	0.999842	1	1
మేము	మేము	మేము	0.999706	1	1
ప్రజలచే	పజలచే	పజలచే	0.957515	0	0
నింటికి	నింటికి	నింటికి	0.999312	1	1
నిరువది	నిరువది	నిరువది	0.997353	1	1
చూడు	చూడు	చూడు	0.967638	1	1
ఫ్రెంచి	ఫెంచి	పెంచి	0.883077	0	0
రాజ్యం	రాజ్యం	రాజ్యం	0.998743	1	1
ముందుకి	ముందుకి	ముందుకి	0.979540	1	1
వేద	వేద	వేద	0.999054	1	1
అబద్ధం	అబద్ధం	అబద్ధం	0.994940	1	1
సరిగానే	నగిగానే	సరిగానే	0.895100	0	1
పరుగు	పరుగు	పరుగు	0.998742	1	1
సంగములు	సంగములు	సంగములు	0.985867	1	1
తోడి	తోడి	తోడి	0.995726	1	1
చూడటం	చూడటం	చూడటం	0.999595	1	1
సమాధి	సమాధి	సమాధి	0.999676	1	1
ఒక	ఒక	ఒక	0.997180	1	1
మీకు	మీకు	మీకు	0.997324	1	1
దానిపేరు	దానిపేరు	దానిపేరు	0.999368	1	1
ఎంత	ఎంత	ఎంత	0.911906	1	1
అందులో	అందులో	అందులో	0.940399	1	1
నిలబడ్డ	కిలబబడ్డ	నిలబడ్డ	0.770169	0	1
అందుకని	అందుకని	అందుకని	0.999857	1	1
తలో	తలో	తలో	0.999635	1	1
వలన	వలన	వలన	0.999443	1	1
దగ్గరికి	దగ్గరికి	దగ్గరికి	0.996758	1	1
కోశమున	కోశమున	కోశమున	0.955165	1	1
తన	తన	తన	0.989457	1	1
కొంత	కొనత	కొంత	0.822679	0	1
అల్లసాని	అల్లసాని	అల్లసాని	0.999727	1	1
వున్నంత	వున్నంత	వున్నంత	0.999598	1	1
ఎంతో	ఎంతో	ఎంతో	0.999480	1	1
నిద్రలోని	నిద్్రలోని	నిద్్రలోని	0.955500	0	0
కాలు	కాలు	కాలు	0.976156	1	1
యీతడు	యీతడు	యీతడు	0.992837	1	1
దాని	దాని	దాని	0.998466	1	1
అంతకుముందు	అంతకుముందు	అంతకుముందు	0.955499	1	1
చిన్నరి	చిన్నరి	చిన్నరి	0.993841	1	1
శ్రీ	శ్రీ	శ్రీ	0.942881	1	1
బాధ	బాధ	బాధ	0.994783	1	1
రోజుల	రోజుల	రోజుల	0.925312	1	1
సంవ	సంవ	సంవ	0.943021	1	1
వాణ్ణి	వాణ్ణి	వాణ్ణి	0.989242	1	1
ఇతని	ఇతని	ఇతని	0.982699	1	1
అంటే	అంటే	అంటే	0.998695	1	1
అందు	అందు	అందు	0.998288	1	1
తల్లికి	తల్లికి	తల్లికి	0.999448	1	1
అన్నే	అన్నే	అన్నే	0.978826	1	1
ఆపైన	ఆపైన	ఆపైన	0.973390	1	1
ఇలా	ఇలా	ఇలా	0.999921	1	1
విఖ్యాతి	విఖ్యాతి	విఖ్యాతి	0.999572	1	1
నెమలి	నెమలి	నెమలి	0.977912	1	1
నూతన	నూతన	నూతన	0.998424	1	1
నున్న	నున్న	నున్న	0.999561	1	1
వల్ల	వల్ల	వల్ల	0.998429	1	1
డట్లు	ఊలు	ఊలు	0.688002	0	0
మొద	మొద	మొద	0.961278	1	1
తప్ప	తప్ప	తప్ప	0.999937	1	1
ఆపైన	ఆపైన	ఆపైన	0.992103	1	1
ఉండి	ఉండి	ఉండి	0.999563	1	1
చిన్నరి	చిన్నరి	చిన్నరి	0.989006	1	1
ప్రత్యేకంగా	ప్రత్యేకంగా	ప్రత్యేకంగా	0.970083	1	1
బృందావనము	బృందావనము	బృందావనము	0.956413	1	1
వారికి	వారికి	వారికి	0.999179	1	1
ఆముక్తమాల్యదలో	ఆముక్తమాల్యదలో	ఆముక్తమాల్యదలో	0.998699	1	1
కాలమందు	కాలమందు	కాలమందు	0.994673	1	1
శ్రీ	శ్రీ	శ్రీ	0.911246	1	1
మొదలైనవి	మొదలైనవి	మొదలైనవి	0.961249	1	1
భారతంలో	భారతంలో	భారతంలో	0.943978	1	1
బాధలు	బాధలు	బాధలు	0.940175	1	1
చీకాకు	చీకాకు	చీకాకు	0.998710	1	1
రాళ్లు	రాళ్లు	రాళ్లు	0.991138	1	1
దాన్ని	దాన్ని	దాన్ని	0.999834	1	1
కొంచెము	కొంచెము	కొంచెము	0.989555	1	1
వా	వా	వా	0.846946	1	1
కంటి	కంటి	కంటి	0.998360	1	1
రహస్యాలు	రహస్యాలు	రహస్యాలు	0.983914	1	1
మొత్తం	మొత్తం	మొత్తం	0.999729	1	1
వర్థిల్ల	వర్థిల్ల	వర్థిల్ల	0.996449	1	1
వానిని	వానిని	వానిని	0.999273	1	1
సాయంత్రము	సాయంత్రము	సాయంత్రము	0.999260	1	1
రెండు	రెండు	రెండు	0.998677	1	1
దానినుంచి	దానినుంచి	దానినుంచి	0.996023	1	1
ఆకాశం	ఆకాశం	ఆకాశం	0.939772	1	1
మీయందు	మీయందు	మీయందు	0.999718	1	1
అక్కడ	అక్కడ	అక్కడ	0.999892	1	1
ఆకాశమే	ఆకాశమే	ఆకాశమే	0.999076	1	1
కెమేరాలు	కెమేరాలు	కెమేరాలు	0.982432	1	1
కనేక	కనేక	కనేక	0.880724	1	1
చేసి	చేసి	చేసి	0.999394	1	1
నని	నని	నని	0.999038	1	1
చిన్నరి	చిన్నరి	చిన్నరి	0.999532	1	1
అనేది	అనేది	అనేది	0.998865	1	1
స్పీడు	స్పీడు	స్పీడు	0.985637	1	1
తోనే	తోనే	తోనే	0.999636	1	1
గడియారాన్ని	గడియారాన్ని	గడియారాన్ని	0.999800	1	1
వాళ్ళు	వాళ్ళు	వాళ్ళు	0.999246	1	1
పతంజలి	పతంజలి	పతంజలి	0.997861	1	1
యిష్టం	యిష్టం	యిష్టం	0.998863	1	1
యెల్ల	యె	యె	0.998850	0	0
నున్నపుడు	నున్నపుడు	నున్నపుడు	0.977221	1	1
మనస్సులోంచి	మనస్సులోంచి	మనస్సులోంచి	0.958377	1	1
మిక్కిలి	మిక్కిలి	మిక్కిలి	0.993615	1	1
చిత్తవృత్తి	చిత్తవృత్తి	చిత్తవృత్తి	0.982681	1	1
అది	అది	అది	0.999184	1	1
ర్యాంకు	ర్యాంకు	ర్యాంకు	0.996826	1	1
అంతా	అంతా	అంతా	0.918094	1	1
చూసి	చూసి	చూసి	0.999513	1	1
అంతకు	అంతకు	అంతకు	0.999608	1	1
సుఖజీవనము	సుఖజీవనము	సుఖజీవనము	0.998837	1	1
వాడు	వాడు	వాడు	0.957880	1	1
మంచివాళ్ళకు	మంచివాళ్ళకు	మంచివాళ్ళకు	0.999270	1	1
మీరు	మీరు	మీరు	0.946204	1	1
బహుమతిగ	బహుమతిగ	బహుమతిగ	0.998339	1	1
రీతిగా	రీతిగా	రీతిగా	0.931128	1	1
అవకాశము	అవకాశము	అవకాశము	0.996298	1	1
కాదను	కాదను	కాదను	0.999558	1	1
తీవ్రముగ	తీవముగ	తీవముగ	0.999225	0	0
కప్పు	కప్పు	కప్పు	0.912412	1	1
వచ్చాక	వచ్చాక	వచ్చాక	0.999693	1	1
మణికంధరుడు	మణికంధరుడు	మణికంధరుడు	0.957094	1	1
పట్టుకుని	పట్టుకుని	పట్టుకుని	0.999708	1	1
మనియు	మనియు	మనియు	0.999767	1	1
కాలమువరకు	కాలమువరకు	కాలమువరకు	0.977585	1	1
చెప్పు	చెప్పు	చెప్పు	0.999796	1	1
కలలన్నీ	కలలన్నీ	కలలన్నీ	0.856636	1	1
జనన	జనన	జనన	0.988579	1	1
గాబోలు	గాబోలు	గాబోలు	0.998813	1	1
యధి	యధి	యధి	0.934246	1	1
తమలో	తమలో	తమలో	0.934255	1	1
కలిసి	కలిసి	కలిసి	0.995409	1	1
మునకు	మునకు	మునకు	0.977915	1	1
వేయుట	వేయుట	వేయుట	0.999194	1	1
కాలము	కాలము	కాలము	0.999266	1	1
సంతృప్త	సంతృప్త	సంతృప్త	0.931332	1	1
ఉద్దేశించి	ఉద్దేశించి	ఉద్దేశించి	0.999378	1	1
రెండు	రెండు	రెండు	0.991630	1	1
స్మార్త	స్కార్త	స్కార్త	0.984902	0	0
నచ్చావ్	నచ్చావ్	నచ్చావ్	0.989400	1	1
పద్ధతి	పద్దతి	పద్దతి	0.894216	0	0
తన	తన్	తన్	0.849592	0	0
రాజవంశాలలో	రాజవంశాలలో	రాజవంశాలలో	0.955437	1	1
కండ్ల	కంప్లు	కండ్లు	0.894441	0	0
ఇక	ఇక	ఇక	0.999772	1	1
నీకు	నీకు	నీకు	0.900961	1	1
హృదయంలో	హృదయంలో	హృదయంలో	0.932463	1	1
తిన్నగా	తిన్నగా	తిన్నగా	0.999841	1	1
కలపటం	కలపటం	కలపటం	0.999632	1	1
అలాంటి	అలాంటి	అలాంటి	0.938226	1	1
వెర్రిగా	వెర్రిగా	వెర్రిగా	0.991074	1	1
వాడుక	వాడుక	వాడుక	0.994206	1	1
విష్ణు	విష్ణు	విష్ణు	0.984633	1	1
ఇంటనే	ఇంటనే	ఇంటనే	0.999679	1	1
స్వీకరించిన	స్వికరించిన	స్వికరించిన	0.990596	0	0
అలా	అలా	అలా	0.928725	1	1
అయిన	అయిన	అయిన	0.998113	1	1
బాలుఁడు	బాలుఁడు	బాలుఁడు	0.996295	1	1
కొందరి	కొందరి	కొందరి	0.999629	1	1
సాహసించి	సాహసించి	సాహసించి	0.985535	1	1
వారిలో	వారిలో	వారిలో	0.999600	1	1
నడచి	నడుచి	నడిచి	0.932224	0	0
వీడియో	వీడియో	వీడియో	0.962331	1	1
చేసుకున్నామో	చేసుకున్నామో	చేసుకున్నామో	0.983115	1	1
నేను	నేను	నేను	0.972214	1	1
చిన్నరి	చిన్నరి	చిన్నరి	0.990716	1	1
ఎలా	ఎలా	ఎలా	0.999924	1	1
నాలుగు	నాలుగు	నాలుగు	0.955873	1	1
తన	తన	తన	0.999073	1	1
నీ	నీ	నీ	0.999132	1	1
అని	అని	అని	0.999307	1	1
కప్పుల	కప్పుల	కప్పుల	0.939590	1	1
వర్తకులు	వర్తకులు	వర్తకులు	0.991416	1	1
వారు	వారు	వారు	0.989903	1	1
ఇట్లాంటి	ఇట్లాంటి	ఇట్లాంటి	0.998368	1	1
మొక్కుల	మొక్కుల	మొక్కుల	0.998121	1	1
అలా	అలా	అలా	0.897791	1	1
స్మరణము	స్మరణము	స్మరణము	0.992120	1	1
తల్లిలో	తల్లిలో	తల్లిలో	0.950252	1	1
పై	పై	పై	0.999643	1	1
పెద్ద	పెద్ద	పెద్ద	0.997510	1	1
తిరిగిరాని	తిరిగిరాని	తిరిగిరాని	0.973756	1	1
హాస్యం	హాస్యం	హాస్యం	0.999668	1	1
మాత్రము	మాతరిము	మాతరిము	0.959008	0	0
పెద్దల	పెద్దల	పెద్దల	0.999568	1	1
ఎంతసేపు	ఎంతసేపు	ఎంతసేపు	0.970079	1	1
ఏనాడో	ఏనాడో	ఏనాడో	0.997123	1	1
యీతడు	యీతడు	యీతడు	0.999103	1	1
దేశము	దేశము	దేశము	0.999717	1	1
ఎక్కడికి	ఎక్కడికి	ఎక్కడికి	0.986882	1	1
వ్రాసి	నారసి	నారసి	0.939085	0	0
ఆవుని	ఆవుని	ఆవుని	0.951124	1	1
సీమలోని	సీమలోని	సీమలోని	0.999565	1	1
చీలమండలు	చీలమండలు	చీలమండలు	0.997152	1	1
బంగాళా	బంగాళా	బంగాళా	0.957424	1	1
ఉన్నటువంటి	ఉన్నటువంటి	ఉన్నటువంటి	0.959656	1	1
వేయడం	వేయడం	వేయడం	0.999514	1	1
పూతల	పూతల	పూతల	0.999703	1	1
చాల	చాల	చాల	0.999366	1	1
వలె	వలె	వలె	0.872757	1	1
నృత్యం	నృత్యం	నృత్యం	0.996379	1	1
పోయిన	పోయిన	పోయిన	0.999640	1	1
స్థాపన	స్థాపన	స్థాపన	0.981587	1	1
ముళ్ళు	ముళ్ళు	ముళ్ళు	0.994234	1	1
తీసుకుంటే	తీసుకుంటే	తీసుకుంటే	0.998018	1	1
నష్టపరిహార	నష్టపరిహార	నష్టపరిహార	0.926073	1	1
అన్నింటిలోను	అన్నింటిలోను	అన్నింటిలోను	0.995454	1	1
దేహం	దేహం	దేహం	0.999691	1	1
ఎంతకాలమైనా	ఎంతకాలమైనా	ఎంతకాలమైనా	0.962401	1	1
మనుచరిత్ర	మనుచరిత్ర	మనుచరిత్ర	0.992829	1	1
మాట్లాడి	మాట్లాడి	మాట్లాడి	0.999127	1	1
మున్నగు	మున్నగు	మున్నగు	0.988013	1	1
తుమ్మెద	తుమ్మెద	తుమ్మెద	0.941642	1	1
మీరు	మీరు	మీరు	0.999522	1	1
ఎప్పటికి	ఎప్పటికి	ఎప్పటికి	0.999344	1	1
లేకుండా	లేకుండా	లేకుండా	0.996884	1	1
లోపలికి	లోపలికి	లోపలికి	0.938905	1	1
లేదనియు	లేదనియు	లేదనియు	0.953247	1	1
పాదాలు	పాదాలు	పాదాలు	0.949948	1	1
నుంచి	నుంచి	నుంచి	0.998993	1	1
సమాధిః	సమాధిః	సమాధిః	0.989125	1	1
గ్రంథాలను	గ్రంథాలను	గ్రంథాలను	0.997537	1	1
మున	మున	మున	0.940182	1	1
వచ్చినటువంటి	వచ్చినటువంటి	వచ్చినటువంటి	0.975809	1	1
క్రిందట	క్రిందట	క్రిందట	0.991435	1	1
శాస్త్రిగారు	శాస్ర్రిగారు	శాస్ర్రిగారు	0.964981	0	0
హెచ్చుగా	హెచ్చుగా	హెచ్చుగా	0.999213	1	1
మెడ	మెడ	మెడ	0.999797	1	1
గౌరన	గౌరన	గౌరన	0.992908	1	1
దిక్	దికి	దికి	0.895584	0	0
వాడికి	వాడికి	వాడికి	0.945107	1	1
ఇట్టి	ఇట్టి	ఇట్టి	0.895792	1	1
మనస్సు	మనస్సు	మనస్సు	0.999730	1	1
బూడిద	బూడిద	బూడిద	0.919489	1	1
విధముగ	ఒకవిధముగ	ఒకవిధముగ	0.920908	0	0
ధూర్జటి	ధూర్జటి	ధూర్జటి	0.999446	1	1
రంగులు	రంగులు	రంగులు	0.999882	1	1
వాళ్ళు	వాళ్ళు	వాళ్ళు	0.990821	1	1
మద్దతు	మద్ధతు	మద్ధతు	0.961831	0	0
అప్పుడు	అప్పుడు	అప్పుడు	0.958431	1	1
జరిగాక	జరిగాక	జరిగాక	0.999837	1	1
పరిచయాలు	పరిచయాలు	పరిచయాలు	0.951411	1	1
పైత్య	పైత్య	పైత్య	0.999331	1	1
వదిలి	వదిలి	వదిలి	0.998072	1	1
వారి	వారి	వారి	0.926524	1	1
మొదట	మొదట	మొదట	0.999558	1	1
తేడా	తేడా	తేడా	0.998462	1	1
రంగులు	రంగులు	రంగులు	0.999862	1	1
లాభము	లాభము	లాభము	0.929978	1	1
వచ్చి	వచ్చి	వచ్చి	0.999540	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999531	1	1
భార్య	భార్య	భార్య	0.999635	1	1
డాక్టరు	డాక్టరు	డాక్టరు	0.996150	1	1
ధ్యానం	ధ్యానం	ధ్యానం	0.999280	1	1
కాంగ్రెసు	కాంగ్రెసు	కాంగ్రెసు	0.997741	1	1
వేరొకచోట	వేరొకచోట	వేరొకచోట	0.963513	1	1
రాసిన	రాసిన	రాసిన	0.999712	1	1
చెప్పినదే	చెప్పినదే	చెప్పినదే	0.973093	1	1
తగిన	తగిన	తగిన	0.906933	1	1
వృద్ధి	వృధి	విధి	0.882947	0	0
నిక	నిక	నిక	0.998711	1	1
పదాలే	పదాలే	పదాలే	0.999566	1	1
నిలువునా	నిలువునా	నిలువునా	0.977174	1	1
వస్తువుని	వస్తువుని	వస్తువుని	0.999638	1	1
శాస్త్రిగారు	శాస్త్రిగారు	శాస్త్రిగారు	0.989892	1	1
సంతాపమును	సంతాపమును	సంతాపమును	0.962838	1	1
ఆనందం	ఆనందం	ఆనందం	0.999387	1	1
దాన్ని	దాన్ని	దాన్ని	0.999626	1	1
నిరువది	నిరువది	నిరువది	0.890664	1	1
రాంబాబుతో	రాంబాబుతో	రాంబాబుతో	0.975768	1	1
జబ్బులను	జబ్బులను	జబ్బులను	0.995356	1	1
పెరిగి	వెరిగి	వెరిగి	0.928211	0	0
రంగు	రంగు	రంగు	0.999878	1	1
నీ	నీ	నీ	0.954905	1	1
ఒక్కొక్కడు	ఒక్కొక్కడు	ఒక్కొక్కడు	0.999890	1	1
స్థిరంగా	స్థిరంగా	స్థిరంగా	0.981495	1	1
ఎంత	ఎంత	ఎంత	0.999914	1	1
శ్రీ	శ్ర్రీ	శ్ర్రీ	0.889194	0	0
వెళ్ళేటప్పటికి	వెళ్ళేటప్పటికి	వెళ్ళేటప్పటికి	0.999437	1	1
బెత్తం	బెత్తం	బెత్తం	0.999000	1	1
రంగుల	రంగుల	రంగుల	0.947416	1	1
ఒక	ఒక	ఒక	0.999709	1	1
